00001 A00     0 Cholera                                                      Cholera
83622 T84060S 1 Wear of artic bearing surface of int prosth r hip jt, sqla   Wear of articular bearing surface of internal prosthetic right hip joint, sequela
83623 T84061  0 Wear of artic bearing surface of internal prosth l hip jt    Wear of articular bearing surface of internal prosthetic left hip joint
83624 T84061A 1 Wear of artic bearing surface of int prosth l hip jt, init   Wear of articular bearing surface of internal prosthetic left hip joint, initial encounter
83625 T84061D 1 Wear of artic bearing surface of int prosth l hip jt, subs   Wear of articular bearing surface of internal prosthetic left hip joint, subsequent encounter
83626 T84061S 1 Wear of artic bearing surface of int prosth l hip jt, sqla   Wear of articular bearing surface of internal prosthetic left hip joint, sequela
83627 T84062  0 Wear of artic bearing surface of internal prosth r knee jt   Wear of articular bearing surface of internal prosthetic right knee joint
83628 T84062A 1 Wear of artic bearing surface of int prosth r knee jt, init  Wear of articular bearing surface of internal prosthetic right knee joint, initial encounter
83629 T84062D 1 Wear of artic bearing surface of int prosth r knee jt, subs  Wear of articular bearing surface of internal prosthetic right knee joint, subsequent encounter
83630 T84062S 1 Wear of artic bearing surface of int prosth r knee jt, sqla  Wear of articular bearing surface of internal prosthetic right knee joint, sequela
83631 T84063  0 Wear of artic bearing surface of internal prosth l knee jt   Wear of articular bearing surface of internal prosthetic left knee joint
83632 T84063A 1 Wear of artic bearing surface of int prosth l knee jt, init  Wear of articular bearing surface of internal prosthetic left knee joint, initial encounter
83633 T84063D 1 Wear of artic bearing surface of int prosth l knee jt, subs  Wear of articular bearing surface of internal prosthetic left knee joint, subsequent encounter
83634 T84063S 1 Wear of artic bearing surface of int prosth l knee jt, sqla  Wear of articular bearing surface of internal prosthetic left knee joint, sequela
83635 T84068  0 Wear of articular bearing surface of internal prosth joint   Wear of articular bearing surface of other internal prosthetic joint
83636 T84068A 1 Wear of artic bearing surface of internal prosth joint, init Wear of articular bearing surface of other internal prosthetic joint, initial encounter
83637 T84068D 1 Wear of artic bearing surface of internal prosth joint, subs Wear of articular bearing surface of other internal prosthetic joint, subsequent encounter
83638 T84068S 1 Wear of artic bearing surface of int prosth joint, sequela   Wear of articular bearing surface of other internal prosthetic joint, sequela
83639 T84069  0 Wear of artic bearing surface of unsp internal prosth joint  Wear of articular bearing surface of unspecified internal prosthetic joint
83640 T84069A 1 Wear of artic bearing surface of unsp int prosth joint, init Wear of articular bearing surface of unspecified internal prosthetic joint, initial encounter
83641 T84069D 1 Wear of artic bearing surface of unsp int prosth joint, subs Wear of articular bearing surface of unspecified internal prosthetic joint, subsequent encounter
83642 T84069S 1 Wear of artic bearing surface of unsp int prosth joint, sqla Wear of articular bearing surface of unspecified internal prosthetic joint, sequela
83643 T8409   0 Other mechanical complication of internal joint prosthesis   Other mechanical complication of internal joint prosthesis
83644 T84090  0 Mech compl of internal right hip prosthesis                  Other mechanical complication of internal right hip prosthesis
83645 T84090A 1 Mech compl of internal right hip prosthesis, init encntr     Other mechanical complication of internal right hip prosthesis, initial encounter
83646 T84090D 1 Mech compl of internal right hip prosthesis, subs encntr     Other mechanical complication of internal right hip prosthesis, subsequent encounter
83647 T84090S 1 Mech compl of internal right hip prosthesis, sequela         Other mechanical complication of internal right hip prosthesis, sequela
83648 T84091  0 Mech compl of internal left hip prosthesis                   Other mechanical complication of internal left hip prosthesis
83649 T84091A 1 Mech compl of internal left hip prosthesis, init encntr      Other mechanical complication of internal left hip prosthesis, initial encounter
83650 T84091D 1 Mech compl of internal left hip prosthesis, subs encntr      Other mechanical complication of internal left hip prosthesis, subsequent encounter
83651 T84091S 1 Mech compl of internal left hip prosthesis, sequela          Other mechanical complication of internal left hip prosthesis, sequela
83652 T84092  0 Mech compl of internal right knee prosthesis                 Other mechanical complication of internal right knee prosthesis
83653 T84092A 1 Mech compl of internal right knee prosthesis, init encntr    Other mechanical complication of internal right knee prosthesis, initial encounter
83654 T84092D 1 Mech compl of internal right knee prosthesis, subs encntr    Other mechanical complication of internal right knee prosthesis, subsequent encounter
83655 T84092S 1 Mech compl of internal right knee prosthesis, sequela        Other mechanical complication of internal right knee prosthesis, sequela
83656 T84093  0 Mech compl of internal left knee prosthesis                  Other mechanical complication of internal left knee prosthesis
83657 T84093A 1 Mech compl of internal left knee prosthesis, init encntr     Other mechanical complication of internal left knee prosthesis, initial encounter
83658 T84093D 1 Mech compl of internal left knee prosthesis, subs encntr     Other mechanical complication of internal left knee prosthesis, subsequent encounter
83659 T84093S 1 Mech compl of internal left knee prosthesis, sequela         Other mechanical complication of internal left knee prosthesis, sequela
83660 T84098  0 Mech compl of other internal joint prosthesis                Other mechanical complication of other internal joint prosthesis
83661 T84098A 1 Mech compl of other internal joint prosthesis, init encntr   Other mechanical complication of other internal joint prosthesis, initial encounter
83662 T84098D 1 Mech compl of other internal joint prosthesis, subs encntr   Other mechanical complication of other internal joint prosthesis, subsequent encounter
83663 T84098S 1 Mech compl of other internal joint prosthesis, sequela       Other mechanical complication of other internal joint prosthesis, sequela
83664 T84099  0 Mech compl of unspecified internal joint prosthesis          Other mechanical complication of unspecified internal joint prosthesis
83665 T84099A 1 Mech compl of unsp internal joint prosthesis, init encntr    Other mechanical complication of unspecified internal joint prosthesis, initial encounter
83666 T84099D 1 Mech compl of unsp internal joint prosthesis, subs encntr    Other mechanical complication of unspecified internal joint prosthesis, subsequent encounter
83667 T84099S 1 Mech compl of unspecified internal joint prosthesis, sequela Other mechanical complication of unspecified internal joint prosthesis, sequela
83668 T841    0 Mechanical complication of int fix of bones of limb          Mechanical complication of internal fixation device of bones of limb
83669 T8411   0 Breakdown (mechanical) of int fix of bones of limb           Breakdown (mechanical) of internal fixation device of bones of limb
83670 T84110  0 Breakdown (mechanical) of int fix of right humerus           Breakdown (mechanical) of internal fixation device of right humerus
83671 T84110A 1 Breakdown (mechanical) of int fix of right humerus, init     Breakdown (mechanical) of internal fixation device of right humerus, initial encounter
83672 T84110D 1 Breakdown (mechanical) of int fix of right humerus, subs     Breakdown (mechanical) of internal fixation device of right humerus, subsequent encounter
83673 T84110S 1 Breakdown (mechanical) of int fix of right humerus, sequela  Breakdown (mechanical) of internal fixation device of right humerus, sequela
83674 T84111  0 Breakdown (mechanical) of int fix of left humerus            Breakdown (mechanical) of internal fixation device of left humerus
83675 T84111A 1 Breakdown (mechanical) of int fix of left humerus, init      Breakdown (mechanical) of internal fixation device of left humerus, initial encounter
83676 T84111D 1 Breakdown (mechanical) of int fix of left humerus, subs      Breakdown (mechanical) of internal fixation device of left humerus, subsequent encounter
83677 T84111S 1 Breakdown (mechanical) of int fix of left humerus, sequela   Breakdown (mechanical) of internal fixation device of left humerus, sequela
83678 T84112  0 Breakdown (mechanical) of int fix of bone of right forearm   Breakdown (mechanical) of internal fixation device of bone of right forearm
83679 T84112A 1 Breakdown (mechanical) of int fix of bone of r forearm, init Breakdown (mechanical) of internal fixation device of bone of right forearm, initial encounter
83680 T84112D 1 Breakdown (mechanical) of int fix of bone of r forearm, subs Breakdown (mechanical) of internal fixation device of bone of right forearm, subsequent encounter
83681 T84112S 1 Breakdown of int fix of bone of r forearm, sequela           Breakdown (mechanical) of internal fixation device of bone of right forearm, sequela
83682 T84113  0 Breakdown (mechanical) of int fix of bone of left forearm    Breakdown (mechanical) of internal fixation device of bone of left forearm
